Game Name,Release Date,Price,Developer,PSN Stars,NUMBER OF RATINGS,VR Requiredments
ZONE OF THE ENDERS: The 2nd Runner - MRS,"Sep 4, 2018",$29.99,"Konami Digital Entertainment, Inc.",5.0,213,N/A
Bound,"Aug 16, 2016",$19.99,Sony Interactive Entertainment,4.0,2846,N/A
Bound Demo,"Jan 31, 2017",Free,Sony Interactive Entertainment,4.0,483,N/A
Bow to Blood: Last Captain Standing,"Aug 28, 2018",$19.99,Tribetoy Inc.,4.5,35,N/A
Boxing Apocalypse,"Nov 20, 2018",$19.99,"Gotham City Films, LLC",3.5,10,N/A
AFFECTED: The Manor,"Nov 27, 2018",$7.99,Fallen Planet Studios LTD,4.0,70,N/A
Bravo Team,"Mar 6, 2018",$39.99,Sony Interactive Entertainment,2.5,308,N/A
BugsBoxVR,"Oct 24, 2018",$16.99,Park ESM,3.0,1,N/A
Call Of Duty: Infinite Warfare Jackal Assault VR Experience,"Nov 4, 2016",Free,Activision,4.0,7683,N/A
Carnival Games VR,"Oct 28, 2016",$19.99,2K,4.0,388,N/A
CastleStorm VR Edition,"Sep 14, 2017",$14.99,Zen Studios,4.5,62,N/A
Catch & Release,"Aug 28, 2018",$19.99,metricminds GmbH & Co. KG,4.5,94,N/A
Catlateral Damage,"Mar 22, 2016",$9.99,FIRE HOSE GAMES,4.0,907,N/A
Cave Digger: Riches,"Mar 25, 2019",$9.99,Mekiwi Oy,3.5,16,N/A
Cavernous Wastes,"Jun 27, 2017",$9.99,POUNCINGKITTEN GAMES LLC,3.5,11,N/A
Chess Ultra,"Jun 20, 2017",$12.99,Ripstone LTD,4.0,263,N/A
A Fisherman&aposs Tale,"Jan 22, 2019",$14.99,Vertigo Games B.V,4.5,56,N/A
ChromaGun Bundle,"Mar 4, 2019",$26.99,Pixel Maniacs,3.5,2,N/A
ChromaGun VR,"Feb 19, 2019",$19.99,Pixel Maniacs,3.5,11,N/A
Code51:Mecha Arena,"Apr 24, 2018",$19.99,DeerVR,4.0,73,N/A
Cold Iron,"Jan 30, 2018",$13.99,"Catch & Release, LLC",4.0,51,N/A
CoolPaintrVR,"May 8, 2018",$19.99,"Singular People, S.L.",4.0,144,N/A
COUNTER FIGHT,"Mar 29, 2019",$7.99,"TRICOL CO., LTD.",4.0,6,N/A
CounterFight: SamuraiEdition (VR),"Mar 29, 2019",$9.99,"TRICOL CO., LTD.",4.0,16,N/A
Creed: Rise to Glory,"Sep 25, 2018",$29.99,"Survios, Inc.",4.5,354,N/A
Crisis on the Planet of the Apes,"Apr 3, 2018",$14.99,FoxNext VR Studio,3.5,131,N/A
Crow: The Legend,"Nov 20, 2018",Free,Baobab Studios Inc.,4.0,414,N/A
Air Force Special Ops: Nightfall,"Jun 20, 2017",Free,Sony Interactive Entertainment,3.5,3127,N/A
Crystal Rift,"Nov 29, 2016",$12.99,Psytec Games Ltd,3.5,180,N/A
CubeWorks,"Feb 13, 2018",$9.99,TinMoon Studios,3.0,8,N/A
DARK ECLIPSE,"Sep 25, 2018",Free,SUNSOFT (SUNCORPORATION),4.5,224,N/A
Dark Legion,"Jun 15, 2018",$9.99,"Gamepoch, Inc.",3.5,70,N/A
Darknet,"Mar 7, 2017",$14.99,Archiact Interactive Ltd,4.5,74,N/A
Dead Land VR,"Feb 1, 2019",$3.74,KODOBUR,2.5,14,N/A
Dead Secret,"Apr 24, 2018",$14.99,Frame Interactive Studio LLC,3.5,49,N/A
Detached,"Jul 24, 2018",$24.99,ANSHAR STUDIOS,4.5,39,N/A
DEXED,"Jan 31, 2017",$9.99,NINJA THEORY LIMITED,3.5,35,N/A
Dick Wilde,"May 16, 2017",$14.99,PlayStack Limited,4.5,166,N/A
Along Together,"May 29, 2018",$14.99,"Turbo Button, Inc",4.5,72,N/A
Dick Wilde 2,"Feb 19, 2019",$19.99,PlayStack Limited,4.5,25,N/A
Dino Frontier,"Aug 1, 2017",$29.99,Uber Entertainment,4.5,207,N/A
Discovery,"Nov 7, 2017",$11.99,Noowanda,2.5,243,N/A
Domino Craft VR,"Aug 14, 2018",$9.99,Shanghai Lusion Computer Software Co. Ltd.,3.0,3,N/A
Don&apost Knock Twice,"Sep 5, 2017",$19.99,Wales Interactive,3.5,187,N/A
DOOM VFR,"Dec 1, 2017",$29.99,Bethesda Softworks,4.0,537,N/A
Downward Spiral: Horus Station,"Sep 18, 2018",$19.99,3rd Eye Studios Oy Ltd,4.0,27,N/A
Dracin,"Nov 6, 2018",$29.99,Sony Interactive Entertainment,5.0,85,N/A
Dream Angling,"Apr 27, 2018",$9.99,"Gamepoch, Inc.",3.5,4,N/A
Dream Match Tennis VR,"Jul 10, 2018",$14.99,Bimboosoft,4.0,40,N/A
Ancient Amuletor,"Jun 27, 2017",$19.99,Time of Virtual Reality,4.5,121,N/A
DreamWorks Voltron VR Chronicles,"Sep 26, 2017",$9.99,"Digital Domain Interactive, LLC.",4.0,209,N/A
DRIVECLUB VR ,"Sep 21, 2016",$14.99,Sony Interactive Entertainment,4.0,735,N/A
Drone Striker,"Oct 16, 2018",$9.99,WINKING SKYWALKER ENTERTAINMENT LIMITED,4.5,12,N/A
Drunkn Bar Fight,"Feb 13, 2018",$11.99,"The Munky, LLC",3.5,304,N/A
DWVR,"Sep 26, 2017",$14.99,PERZIUR SLU,3.0,86,N/A
DYING: Reborn PSVR,"Feb 28, 2017",$9.99,Oasis Games Limited,3.0,202,N/A
DYING: Reborn Ultimate Bundle,"Mar 14, 2017",$24.99,Oasis Games Limited,3.5,37,N/A
Eagle Flight,"Nov 8, 2016",$19.99,Ubisoft Entertainment,4.0,285,N/A
Eden-Tomorrow,"Feb 12, 2019",$19.99,Frank Sennholz trading as Soul Pix,4.0,19,N/A
Electronauts,"Aug 7, 2018",$19.99,"Survios, Inc.",4.5,163,N/A
Ancient Amuletor Demo,"May 30, 2017",Free,Time of Virtual Reality,4.5,396,N/A
End Space,"Sep 19, 2017",$19.99,Orange Bridge Studios Inc.,3.5,113,N/A
ESPER,"Jun 29, 2018",$8.99,Coatsink Software Ltd,4.0,22,N/A
Evasion,"Oct 9, 2018",$19.99,Archiact Interactive Ltd,4.0,57,N/A
EVEREST VR,"Oct 3, 2017",$9.99,SOLFAR STUDIOS EHF,3.0,125,N/A
Everybody&aposs Golf VR,"May 21, 2019",$29.99,Sony Interactive Entertainment,5.0,4,N/A
EVE: Valkyrie  Warzone,"Oct 10, 2016",$29.99,CCP Games,4.0,336,N/A
Falcon Age,"Apr 9, 2019",$19.99,Outerloop Games LLC,4.5,33,N/A
Fantastic Contraption,"Jul 11, 2017",$19.99,RADIAL GAMES CORP.,4.0,63,N/A
Farpoint,"May 16, 2017",$19.99,Sony Interactive Entertainment,4.5,607,N/A
Fat City,"Dec 15, 2016",$14.99,Heavy Iron Studios,2.0,5,N/A
